 0.00000000e+00 -8.27604651e-12  0.00000000e+00 -4.36397585e-11  0.00000000e+00 -3.37112005e-11 
 5.56400000e-06 -8.27604651e-12  5.56400000e-06 -4.36397585e-11  5.56400000e-06 -3.37112005e-11 
 5.61400000e-06 -8.27604651e-12  5.61400000e-06 -4.36397585e-11  5.61400000e-06 -3.37112005e-11 
 5.66400000e-06 -8.27604651e-12  5.66400000e-06 -4.36397585e-11  5.66400000e-06 -3.37112005e-11 
 5.71400000e-06 -8.27604651e-12  5.71400000e-06 -4.36397585e-11  5.71400000e-06 -3.37112005e-11 
 5.76400000e-06 -8.27604651e-12  5.76400000e-06 -4.36397585e-11  5.76400000e-06 -3.37112005e-11 
 5.81400000e-06 -8.27604651e-12  5.81400000e-06 -4.36397585e-11  5.81400000e-06 -3.37112005e-11 
 5.86400000e-06 -8.27604651e-12  5.86400000e-06 -4.36397585e-11  5.86400000e-06 -3.37112005e-11 
 5.91400000e-06 -8.27604651e-12  5.91400000e-06 -4.36397585e-11  5.91400000e-06 -3.37112005e-11 
 5.96400000e-06 -8.27604651e-12  5.96400000e-06 -4.36397585e-11  5.96400000e-06 -3.37112005e-11 
 6.01400000e-06 -8.27604651e-12  6.01400000e-06 -4.36397585e-11  6.01400000e-06 -3.37112005e-11 
 6.06400000e-06 -8.27604651e-12  6.06400000e-06 -4.36397585e-11  6.06400000e-06 -3.37112005e-11 
 6.11400000e-06 -8.27604651e-12  6.11400000e-06 -4.36397585e-11  6.11400000e-06 -3.37112005e-11 
 6.16400000e-06 -8.27604651e-12  6.16400000e-06 -4.36397585e-11  6.16400000e-06 -3.37112005e-11 
 6.21400000e-06 -8.27604651e-12  6.21400000e-06 -4.36397585e-11  6.21400000e-06 -3.37112005e-11 
 6.26400000e-06 -8.27604651e-12  6.26400000e-06 -4.36397585e-11  6.26400000e-06 -3.37112005e-11 
 6.31400000e-06 -8.27604651e-12  6.31400000e-06 -4.36397585e-11  6.31400000e-06 -3.37112005e-11 
 6.36400000e-06 -8.27604651e-12  6.36400000e-06 -4.36397585e-11  6.36400000e-06 -3.37112005e-11 
 6.41400000e-06 -8.27604651e-12  6.41400000e-06 -4.36397585e-11  6.41400000e-06 -3.37112005e-11 
 6.46400000e-06 -8.27604651e-12  6.46400000e-06 -4.36397585e-11  6.46400000e-06 -3.37112005e-11 
 6.51400000e-06 -8.27604651e-12  6.51400000e-06 -4.36397585e-11  6.51400000e-06 -3.37112005e-11 
 6.56400000e-06 -8.27604651e-12  6.56400000e-06 -4.36397585e-11  6.56400000e-06 -3.37112005e-11 
 6.61400000e-06 -8.27604651e-12  6.61400000e-06 -4.36397585e-11  6.61400000e-06 -3.37112005e-11 
 6.66400000e-06 -8.27604651e-12  6.66400000e-06 -4.36397585e-11  6.66400000e-06 -3.37112005e-11 
 6.71400000e-06 -8.27604651e-12  6.71400000e-06 -4.36397585e-11  6.71400000e-06 -3.37112005e-11 
 6.76400000e-06 -8.27604651e-12  6.76400000e-06 -4.36397585e-11  6.76400000e-06 -3.37112005e-11 
 6.81400000e-06 -8.27604651e-12  6.81400000e-06 -4.36397585e-11  6.81400000e-06 -3.37112005e-11 
 6.86400000e-06 -8.27604651e-12  6.86400000e-06 -4.36397585e-11  6.86400000e-06 -3.37112005e-11 
 6.91400000e-06 -8.27604651e-12  6.91400000e-06 -4.36397585e-11  6.91400000e-06 -3.37112005e-11 
 6.96400000e-06 -8.27604651e-12  6.96400000e-06 -4.36397585e-11  6.96400000e-06 -3.37112005e-11 
 7.01400000e-06 -8.27604651e-12  7.01400000e-06 -4.36397585e-11  7.01400000e-06 -3.37112005e-11 
 7.06400000e-06 -8.27604651e-12  7.06400000e-06 -4.36397585e-11  7.06400000e-06 -3.37112005e-11 
 7.11400000e-06 -8.27604651e-12  7.11400000e-06 -4.36397585e-11  7.11400000e-06 -3.37112005e-11 
 7.16400000e-06 -8.27604651e-12  7.16400000e-06 -4.36397585e-11  7.16400000e-06 -3.37112005e-11 
 7.21400000e-06 -8.27604651e-12  7.21400000e-06 -4.36397585e-11  7.21400000e-06 -3.37112005e-11 
 7.26400000e-06 -8.27604651e-12  7.26400000e-06 -4.36397585e-11  7.26400000e-06 -3.37112005e-11 
 7.31400000e-06 -8.27604651e-12  7.31400000e-06 -4.36397585e-11  7.31400000e-06 -3.37112005e-11 
 7.36400000e-06 -8.27604651e-12  7.36400000e-06 -4.36397585e-11  7.36400000e-06 -3.37112005e-11 
 7.41400000e-06 -8.27604651e-12  7.41400000e-06 -4.36397585e-11  7.41400000e-06 -3.37112005e-11 
 7.46400000e-06 -8.27604651e-12  7.46400000e-06 -4.36397585e-11  7.46400000e-06 -3.37112005e-11 
 7.51400000e-06 -8.27604651e-12  7.51400000e-06 -4.36397585e-11  7.51400000e-06 -3.37112005e-11 
 7.56400000e-06 -8.27604651e-12  7.56400000e-06 -4.36397585e-11  7.56400000e-06 -3.37112005e-11 
 7.61400000e-06 -8.27604651e-12  7.61400000e-06 -4.36397585e-11  7.61400000e-06 -3.37112005e-11 
 7.66400000e-06 -8.27604651e-12  7.66400000e-06 -4.36397585e-11  7.66400000e-06 -3.37112005e-11 
 7.71400000e-06 -8.27604651e-12  7.71400000e-06 -4.36397585e-11  7.71400000e-06 -3.37112005e-11 
 7.76400000e-06 -8.27604651e-12  7.76400000e-06 -4.36397585e-11  7.76400000e-06 -3.37112005e-11 
